crypto;date;courscloture;;;;
avax;30/11/2023;21,38;;;;
avax;29/11/2023;21,11;;;;
avax;28/11/2023;20,68;;;;
avax;27/11/2023;20,35;;;;
avax;26/11/2023;21,06;;;;
avax;25/11/2023;21,34;;;;
avax;24/11/2023;20,89;;;;
avax;23/11/2023;20,63;;;;
avax;22/11/2023;20,78;;;;
avax;21/11/2023;19,01;;;;
avax;20/11/2023;20,86;;;;
avax;19/11/2023;22,85;;;;
avax;18/11/2023;21,99;;;;
avax;17/11/2023;21,94;;;;
avax;16/11/2023;21,72;;;;
avax;15/11/2023;20,7;;;;
avax;14/11/2023;17,07;;;;
avax;13/11/2023;16,11;;;;
avax;12/11/2023;18,95;;;;
avax;11/11/2023;16,81;;;;
avax;10/11/2023;14,73;;;;
avax;09/11/2023;12,96;;;;
avax;08/11/2023;12,99;;;;
avax;07/11/2023;12,81;;;;
avax;06/11/2023;13,06;;;;
avax;05/11/2023;12,34;;;;
avax;04/11/2023;12,21;;;;
avax;03/11/2023;12,11;;;;
avax;02/11/2023;11,88;;;;
avax;01/11/2023;12,23;;;;
avax;31/10/2023;11,33;;;;
avax;30/10/2023;11,46;;;;
avax;29/10/2023;11,37;;;;
avax;28/10/2023;10,97;;;;
avax;27/10/2023;10,58;;;;
avax;26/10/2023;11,05;;;;
avax;25/10/2023;10,52;;;;
avax;24/10/2023;10,32;;;;
avax;23/10/2023;10,57;;;;
avax;22/10/2023;10,08;;;;
avax;21/10/2023;9,63;;;;
avax;20/10/2023;9,22;;;;
avax;19/10/2023;9,06;;;;
avax;18/10/2023;8,91;;;;
avax;17/10/2023;9,1;;;;
avax;16/10/2023;9,41;;;;
avax;15/10/2023;9,17;;;;
avax;14/10/2023;9,15;;;;
avax;13/10/2023;9,15;;;;
avax;12/10/2023;9,12;;;;
avax;11/10/2023;9,3;;;;
avax;10/10/2023;9,53;;;;
avax;09/10/2023;9,54;;;;
avax;08/10/2023;10,08;;;;
avax;07/10/2023;10,35;;;;
avax;06/10/2023;10,65;;;;
avax;05/10/2023;10,12;;;;
avax;04/10/2023;10,1;;;;
avax;03/10/2023;9,42;;;;
avax;02/10/2023;9,32;;;;
avax;01/10/2023;9,75;;;;
avax;30/09/2023;9,24;;;;
avax;29/09/2023;9,17;;;;
avax;28/09/2023;9,27;;;;
avax;27/09/2023;8,92;;;;
avax;26/09/2023;9,05;;;;
avax;25/09/2023;8,95;;;;
avax;24/09/2023;8,78;;;;
avax;23/09/2023;8,9;;;;
avax;22/09/2023;8,86;;;;
avax;21/09/2023;8,83;;;;
avax;20/09/2023;9,04;;;;
avax;19/09/2023;9,21;;;;
avax;18/09/2023;9,11;;;;
avax;17/09/2023;9,1;;;;
avax;16/09/2023;9,38;;;;
avax;15/09/2023;9,42;;;;
avax;14/09/2023;9,4;;;;
avax;13/09/2023;9,29;;;;
avax;12/09/2023;9,21;;;;
avax;11/09/2023;9,23;;;;
avax;10/09/2023;9,47;;;;
avax;09/09/2023;9,84;;;;
avax;08/09/2023;9,93;;;;
avax;07/09/2023;10,09;;;;
avax;06/09/2023;9,95;;;;
avax;05/09/2023;9,91;;;;
avax;04/09/2023;9,8;;;;
avax;03/09/2023;9,88;;;;
avax;02/09/2023;9,92;;;;
avax;01/09/2023;9,93;;;;
avax;31/08/2023;9,98;;;;
avax;30/08/2023;10,41;;;;
avax;29/08/2023;10,82;;;;
avax;28/08/2023;10,38;;;;
avax;27/08/2023;10,2;;;;
avax;26/08/2023;10,09;;;;
avax;25/08/2023;10,05;;;;
avax;24/08/2023;10,12;;;;
avax;23/08/2023;10,33;;;;
avax;22/08/2023;10,15;;;;
avax;21/08/2023;10,36;;;;
avax;20/08/2023;10,86;;;;
avax;19/08/2023;10,81;;;;
avax;18/08/2023;10,81;;;;
avax;17/08/2023;10,59;;;;
avax;16/08/2023;11,39;;;;
avax;15/08/2023;11,83;;;;
avax;14/08/2023;12,37;;;;
avax;13/08/2023;12,28;;;;
avax;12/08/2023;12,39;;;;
avax;11/08/2023;12,45;;;;
avax;10/08/2023;12,48;;;;
avax;09/08/2023;12,62;;;;
avax;08/08/2023;12,7;;;;
avax;07/08/2023;12,47;;;;
avax;06/08/2023;12,59;;;;
avax;05/08/2023;12,45;;;;
avax;04/08/2023;12,41;;;;
avax;03/08/2023;12,45;;;;
avax;02/08/2023;12,55;;;;
avax;01/08/2023;12,89;;;;
avax;31/07/2023;12,82;;;;
avax;30/07/2023;13,12;;;;
avax;29/07/2023;13,23;;;;
avax;28/07/2023;13,22;;;;
avax;27/07/2023;13,15;;;;
avax;26/07/2023;13,27;;;;
avax;25/07/2023;13,33;;;;
avax;24/07/2023;13,11;;;;
avax;23/07/2023;13,54;;;;
avax;22/07/2023;13,53;;;;
avax;21/07/2023;13,98;;;;
avax;20/07/2023;13,86;;;;
avax;19/07/2023;13,99;;;;
avax;18/07/2023;13,81;;;;
avax;17/07/2023;14,4;;;;
avax;16/07/2023;14,3;;;;
avax;15/07/2023;14,84;;;;
avax;14/07/2023;14,64;;;;
avax;13/07/2023;14,1;;;;
avax;12/07/2023;13,02;;;;
avax;11/07/2023;13,27;;;;
avax;10/07/2023;13,39;;;;
avax;09/07/2023;13,59;;;;
avax;08/07/2023;13,66;;;;
avax;07/07/2023;12,74;;;;
avax;06/07/2023;12,38;;;;
avax;05/07/2023;12,67;;;;
avax;04/07/2023;13,03;;;;
avax;03/07/2023;13,24;;;;
avax;02/07/2023;13,13;;;;
avax;01/07/2023;13;;;;
avax;30/06/2023;13,02;;;;
avax;29/06/2023;12,68;;;;
avax;28/06/2023;12,34;;;;
avax;27/06/2023;13,19;;;;
avax;26/06/2023;13,15;;;;
avax;25/06/2023;13,44;;;;
avax;24/06/2023;13;;;;
avax;23/06/2023;13,28;;;;
avax;22/06/2023;12,65;;;;
avax;21/06/2023;12,91;;;;
avax;20/06/2023;12,12;;;;
avax;19/06/2023;11,48;;;;
avax;18/06/2023;11,34;;;;
avax;17/06/2023;11,62;;;;
avax;16/06/2023;11,54;;;;
avax;15/06/2023;11,41;;;;
avax;14/06/2023;11,38;;;;
avax;13/06/2023;11,8;;;;
avax;12/06/2023;11,52;;;;
avax;11/06/2023;11,57;;;;
avax;10/06/2023;11,66;;;;
avax;09/06/2023;13,75;;;;
avax;08/06/2023;13,93;;;;
avax;07/06/2023;14,02;;;;
avax;06/06/2023;14,62;;;;
avax;05/06/2023;13,87;;;;
avax;04/06/2023;14,78;;;;
avax;03/06/2023;14,58;;;;
avax;02/06/2023;14,49;;;;
avax;01/06/2023;14,09;;;;
avax;31/05/2023;14,11;;;;
avax;30/05/2023;14,45;;;;
avax;29/05/2023;14,48;;;;
avax;28/05/2023;14,89;;;;
avax;27/05/2023;14,57;;;;
avax;26/05/2023;14,32;;;;
avax;25/05/2023;14,08;;;;
avax;24/05/2023;14,15;;;;
avax;23/05/2023;14,71;;;;
avax;22/05/2023;14,68;;;;
avax;21/05/2023;14,31;;;;
avax;20/05/2023;14,63;;;;
avax;19/05/2023;14,68;;;;
avax;18/05/2023;14,68;;;;
avax;17/05/2023;15,16;;;;
avax;16/05/2023;14,9;;;;
avax;15/05/2023;15,08;;;;
avax;14/05/2023;15,03;;;;
avax;13/05/2023;14,91;;;;
avax;12/05/2023;15,18;;;;
avax;11/05/2023;14,96;;;;
avax;10/05/2023;15,52;;;;
avax;09/05/2023;15,31;;;;
avax;08/05/2023;15,41;;;;
avax;07/05/2023;16,42;;;;
avax;06/05/2023;16,58;;;;
avax;05/05/2023;17,38;;;;
avax;04/05/2023;16,93;;;;
avax;03/05/2023;17,21;;;;
avax;02/05/2023;16,84;;;;
avax;01/05/2023;16,65;;;;
avax;30/04/2023;17,08;;;;
avax;29/04/2023;17,49;;;;
avax;28/04/2023;17,55;;;;
avax;27/04/2023;17,73;;;;
avax;26/04/2023;17,18;;;;
avax;25/04/2023;17,63;;;;
avax;24/04/2023;16,92;;;;
avax;23/04/2023;16,85;;;;
avax;22/04/2023;17,21;;;;
avax;21/04/2023;16,94;;;;
avax;20/04/2023;18,31;;;;
avax;19/04/2023;18,99;;;;
avax;18/04/2023;21,2;;;;
avax;17/04/2023;20,51;;;;
avax;16/04/2023;20,19;;;;
avax;15/04/2023;19,07;;;;
avax;14/04/2023;19,22;;;;
avax;13/04/2023;18,84;;;;
avax;12/04/2023;18,25;;;;
avax;11/04/2023;18,13;;;;
avax;10/04/2023;17,94;;;;
avax;09/04/2023;17,54;;;;
avax;08/04/2023;17,46;;;;
avax;07/04/2023;17,6;;;;
avax;06/04/2023;17,97;;;;
avax;05/04/2023;17,99;;;;
avax;04/04/2023;17,65;;;;
avax;03/04/2023;17,11;;;;
avax;02/04/2023;17,26;;;;
avax;01/04/2023;17,8;;;;
avax;31/03/2023;17,7;;;;
avax;30/03/2023;17,23;;;;
avax;29/03/2023;17,31;;;;
avax;28/03/2023;16,7;;;;
avax;27/03/2023;16,49;;;;
avax;26/03/2023;17,12;;;;
