crypto;date;courscloture
btc;01/01/2023;15528,42383
btc;02/01/2023;15630,73926
btc;03/01/2023;15817,3418
btc;04/01/2023;15899,8418
btc;05/01/2023;16002,54395
btc;06/01/2023;15896,70898
btc;07/01/2023;15900,09863
btc;08/01/2023;16028,55371
btc;09/01/2023;16022,66602
btc;10/01/2023;16246,45898
btc;11/01/2023;16659,36719
btc;12/01/2023;17375,47461
btc;13/01/2023;18355,75195
btc;14/01/2023;19344,57422
btc;15/01/2023;19293,44141
btc;16/01/2023;19544,50391
btc;17/01/2023;19613,13086
btc;18/01/2023;19160,00391
btc;19/01/2023;19464,43945
btc;20/01/2023;20848,82227
btc;21/01/2023;20940,35938
btc;22/01/2023;20912,84766
btc;23/01/2023;21096,00781
btc;24/01/2023;20786,66211
btc;25/01/2023;21168,35352
btc;26/01/2023;21143,85938
btc;27/01/2023;21228,64453
btc;28/01/2023;21182,89063
btc;29/01/2023;21867,86914
btc;30/01/2023;21050,04297
btc;31/01/2023;21305,56445
btc;01/02/2023;21541,99023
btc;02/02/2023;21524,57422
btc;03/02/2023;21701,17383
btc;04/02/2023;21580,79297
btc;05/02/2023;21276,36719
btc;06/02/2023;21213,24023
btc;07/02/2023;21680,20313
btc;08/02/2023;21407,87305
btc;09/02/2023;20316,77734
btc;10/02/2023;20256,52344
btc;11/02/2023;20462,0625
btc;12/02/2023;20405,87305
btc;13/02/2023;20322,70898
btc;14/02/2023;20698,39063
btc;15/02/2023;22735,5625
btc;16/02/2023;22149,27539
btc;17/02/2023;22923,21875
btc;18/02/2023;22993,78516
btc;19/02/2023;22770,06445
btc;20/02/2023;23243,0625
btc;21/02/2023;22941,82617
btc;22/02/2023;22807,73242
btc;23/02/2023;22597,16602
btc;24/02/2023;21916,64063
btc;25/02/2023;21920,42969
btc;26/02/2023;22325,52148
btc;27/02/2023;22171,48242
btc;28/02/2023;21885,33594
btc;01/03/2023;22164,50195
btc;02/03/2023;22150,04102
btc;03/03/2023;21014,58984
btc;04/03/2023;21005,82227
btc;05/03/2023;21114,17383
btc;06/03/2023;20988,7793
btc;07/03/2023;21064,69727
btc;08/03/2023;20587,60938
btc;09/03/2023;19235,70313
btc;10/03/2023;19235,70313
btc;11/03/2023;18943,58789
btc;12/03/2023;19379,52734
btc;13/03/2023;20749,80078
btc;14/03/2023;22565,94141
btc;15/03/2023;23069,60156
btc;16/03/2023;23035,9668
btc;17/03/2023;23604,21289
btc;18/03/2023;25505,62695
btc;19/03/2023;25025,17188
btc;20/03/2023;26251,6582
btc;21/03/2023;25905,30469
btc;22/03/2023;26153,63867
btc;23/03/2023;25124,20703
btc;24/03/2023;26151,00977
btc;25/03/2023;25512,39453
btc;26/03/2023;25513,71289
btc;27/03/2023;25974,14648
btc;28/03/2023;25114,81836
btc;29/03/2023;25156,8418
btc;30/03/2023;26145,06055
btc;31/03/2023;25708,375
btc;01/04/2023;26205,18945
btc;02/04/2023;26143,12305
btc;03/04/2023;26103,36719
btc;04/04/2023;25479,76953
btc;05/04/2023;25706,50781
btc;06/04/2023;25843,80469
btc;07/04/2023;25681,8418
btc;08/04/2023;25395,77734
btc;09/04/2023;25419,80469
btc;10/04/2023;25962,48047
btc;11/04/2023;27280,26758
btc;12/04/2023;27697,03711
btc;13/04/2023;27405,62109
btc;14/04/2023;27505,62305
btc;15/04/2023;27455,93945
btc;16/04/2023;27307,80859
btc;17/04/2023;27598,18945
btc;18/04/2023;26952,8457
btc;19/04/2023;27696,79102
btc;20/04/2023;26317,67188
btc;21/04/2023;25753,05273
btc;22/04/2023;24581,54102
btc;23/04/2023;25068,71484
btc;24/04/2023;25101,64844
btc;25/04/2023;24893,00781
btc;26/04/2023;25785,67383
btc;27/04/2023;25732,86133
btc;28/04/2023;26717,72266
btc;29/04/2023;26368,09375
btc;30/04/2023;26284,85547
btc;01/05/2023;26581,58008
btc;02/05/2023;25610,46484
btc;03/05/2023;26047,43359
btc;04/05/2023;26205,54492
btc;05/05/2023;26170,32617
btc;06/05/2023;26344,9668
btc;07/05/2023;25783,21289
btc;08/05/2023;25825,05469
btc;09/05/2023;25183,92578
btc;10/05/2023;25225,35547
btc;11/05/2023;25150,4375
btc;12/05/2023;24743,68359
btc;13/05/2023;24502,44141
btc;14/05/2023;24488,30859
btc;15/05/2023;24813,75586
btc;16/05/2023;25008,22266
btc;17/05/2023;24882,45117
btc;18/05/2023;25280,46289
btc;19/05/2023;24902,06055
btc;20/05/2023;24855,89063
btc;21/05/2023;25079,34961
btc;22/05/2023;24719,41211
btc;23/05/2023;24837,51172
btc;24/05/2023;25280,44922
btc;25/05/2023;24484,87695
btc;26/05/2023;24689,7793
btc;27/05/2023;24898,37109
btc;28/05/2023;25037,27539
btc;29/05/2023;26196,1582
btc;30/05/2023;25914,65625
btc;31/05/2023;25813,79688
btc;01/06/2023;25454,46289
btc;02/06/2023;24924,98047
btc;03/06/2023;25434,76563
btc;04/06/2023;25271,92578
btc;05/06/2023;25352,39648
btc;06/06/2023;24049,57422
btc;07/06/2023;25459,98242
btc;08/06/2023;24606,05664
btc;09/06/2023;24585,15039
btc;10/06/2023;24635,19531
btc;11/06/2023;24039,84375
btc;12/06/2023;24130,29688
btc;13/06/2023;24067,69727
btc;14/06/2023;24021,91797
btc;15/06/2023;23170,25391
btc;16/06/2023;23366,49219
btc;17/06/2023;24029,07422
btc;18/06/2023;24196,29492
btc;19/06/2023;24065,60938
btc;20/06/2023;24580,5332
btc;21/06/2023;25940,92578
btc;22/06/2023;27317,93359
btc;23/06/2023;27303,24219
btc;24/06/2023;28118,58398
btc;25/06/2023;27984,13281
btc;26/06/2023;27947,5957
btc;27/06/2023;27746,60938
btc;28/06/2023;28006,04883
btc;29/06/2023;27560,50586
btc;30/06/2023;28014,89844
btc;01/07/2023;27918,68555
btc;02/07/2023;28022,04102
btc;03/07/2023;28072,72461
btc;04/07/2023;28549,08203
btc;05/07/2023;28281,73438
btc;06/07/2023;28109,2832
btc;07/07/2023;27465,17578
btc;08/07/2023;27661,82813
btc;09/07/2023;27613,98438
btc;10/07/2023;27504,66992
btc;11/07/2023;27635,5625
btc;12/07/2023;27802,66016
btc;13/07/2023;27279,8457
btc;14/07/2023;28044,08984
btc;15/07/2023;26979,12109
btc;16/07/2023;26961,9668
btc;17/07/2023;26939,87695
btc;18/07/2023;26828,54492
btc;19/07/2023;26590,16602
btc;20/07/2023;26696,83008
btc;21/07/2023;26756,26953
btc;22/07/2023;26865,5293
btc;23/07/2023;26752,76367
btc;24/07/2023;27041,06641
btc;25/07/2023;26373,33398
btc;26/07/2023;26449,91211
btc;27/07/2023;26498,29297
btc;28/07/2023;26607,66602
btc;29/07/2023;26577,89648
btc;30/07/2023;26612,04688
btc;31/07/2023;26556,1582
btc;01/08/2023;26580,54688
btc;02/08/2023;26958,77148
btc;03/08/2023;26638,91406
btc;04/08/2023;26644,65625
btc;05/08/2023;26368,83398
btc;06/08/2023;26339,84375
btc;07/08/2023;26395,76563
btc;08/08/2023;26521,00195
btc;09/08/2023;27159,88086
btc;10/08/2023;26929,60547
btc;11/08/2023;26798,73438
btc;12/08/2023;26831,29492
btc;13/08/2023;26847,95117
btc;14/08/2023;26758,69727
btc;15/08/2023;26960,86523
btc;16/08/2023;26752,1543
btc;17/08/2023;26393,15234
