crypto;date;courscloture;;;;
cosmos;30/11/2023;9,2429;;;;
cosmos;29/11/2023;9,2166;;;;
cosmos;28/11/2023;9,2423;;;;
cosmos;27/11/2023;9,3004;;;;
cosmos;26/11/2023;9,9092;;;;
cosmos;25/11/2023;9,4916;;;;
cosmos;24/11/2023;8,9076;;;;
cosmos;23/11/2023;8,7423;;;;
cosmos;22/11/2023;8,8054;;;;
cosmos;21/11/2023;8,2095;;;;
cosmos;20/11/2023;8,9703;;;;
cosmos;19/11/2023;9,3627;;;;
cosmos;18/11/2023;9,2285;;;;
cosmos;17/11/2023;9,3961;;;;
cosmos;16/11/2023;9,5968;;;;
cosmos;15/11/2023;9,6578;;;;
cosmos;14/11/2023;9,1186;;;;
cosmos;13/11/2023;9,1727;;;;
cosmos;12/11/2023;9,5263;;;;
cosmos;11/11/2023;9,2448;;;;
cosmos;10/11/2023;9,1826;;;;
cosmos;09/11/2023;9,0256;;;;
cosmos;08/11/2023;8,6511;;;;
cosmos;07/11/2023;8,467;;;;
cosmos;06/11/2023;8,7354;;;;
cosmos;05/11/2023;8,3608;;;;
cosmos;04/11/2023;8,0986;;;;
cosmos;03/11/2023;7,7521;;;;
cosmos;02/11/2023;7,8298;;;;
cosmos;01/11/2023;7,8763;;;;
cosmos;31/10/2023;7,9301;;;;
cosmos;30/10/2023;8,1093;;;;
cosmos;29/10/2023;7,3132;;;;
cosmos;28/10/2023;7,1833;;;;
cosmos;27/10/2023;7,0267;;;;
cosmos;26/10/2023;7,1666;;;;
cosmos;25/10/2023;7,1166;;;;
cosmos;24/10/2023;6,9998;;;;
cosmos;23/10/2023;7,0251;;;;
cosmos;22/10/2023;6,7534;;;;
cosmos;21/10/2023;6,6251;;;;
cosmos;20/10/2023;6,4068;;;;
cosmos;19/10/2023;6,2632;;;;
cosmos;18/10/2023;6,2912;;;;
cosmos;17/10/2023;6,444;;;;
cosmos;16/10/2023;6,6283;;;;
cosmos;15/10/2023;6,5983;;;;
cosmos;14/10/2023;6,5815;;;;
cosmos;13/10/2023;6,565;;;;
cosmos;12/10/2023;6,5868;;;;
cosmos;11/10/2023;6,7043;;;;
cosmos;10/10/2023;6,6805;;;;
cosmos;09/10/2023;6,8293;;;;
