crypto;date;courscloture
dodge;01/01/2023;0,070225
dodge;02/01/2023;0,071454
dodge;03/01/2023;0,070468
dodge;04/01/2023;0,073237
dodge;05/01/2023;0,07155
dodge;06/01/2023;0,07247
dodge;07/01/2023;0,072222
dodge;08/01/2023;0,073601
dodge;09/01/2023;0,075784
dodge;10/01/2023;0,077729
dodge;11/01/2023;0,078153
dodge;12/01/2023;0,080286
dodge;13/01/2023;0,084438
dodge;14/01/2023;0,087323
dodge;15/01/2023;0,086131
dodge;16/01/2023;0,083636
dodge;17/01/2023;0,082982
dodge;18/01/2023;0,080191
dodge;19/01/2023;0,08166
dodge;20/01/2023;0,086403
dodge;21/01/2023;0,084765
dodge;22/01/2023;0,088304
dodge;23/01/2023;0,088605
dodge;24/01/2023;0,08395
dodge;25/01/2023;0,086594
dodge;26/01/2023;0,086373
dodge;27/01/2023;0,087123
dodge;28/01/2023;0,087788
dodge;29/01/2023;0,090233
dodge;30/01/2023;0,088337
dodge;31/01/2023;0,096167
dodge;01/02/2023;0,094171
dodge;02/02/2023;0,090979
dodge;03/02/2023;0,092987
dodge;04/02/2023;0,095782
dodge;05/02/2023;0,092095
dodge;06/02/2023;0,089549
dodge;07/02/2023;0,092576
dodge;08/02/2023;0,090156
dodge;09/02/2023;0,08148
dodge;10/02/2023;0,08109
dodge;11/02/2023;0,082372
dodge;12/02/2023;0,082144
dodge;13/02/2023;0,082156
dodge;14/02/2023;0,083534
dodge;15/02/2023;0,089291
dodge;16/02/2023;0,085044
dodge;17/02/2023;0,087766
dodge;18/02/2023;0,088927
dodge;19/02/2023;0,086966
dodge;20/02/2023;0,088208
dodge;21/02/2023;0,085413
dodge;22/02/2023;0,085534
dodge;23/02/2023;0,084292
dodge;24/02/2023;0,0809
dodge;25/02/2023;0,080786
dodge;26/02/2023;0,082202
dodge;27/02/2023;0,081354
dodge;28/02/2023;0,080749
dodge;01/03/2023;0,081964
dodge;02/03/2023;0,08052
dodge;03/03/2023;0,076777
dodge;04/03/2023;0,074556
dodge;05/03/2023;0,074795
dodge;06/03/2023;0,074805
dodge;07/03/2023;0,074048
dodge;08/03/2023;0,07113
dodge;09/03/2023;0,065987
dodge;10/03/2023;0,065833
dodge;11/03/2023;0,066594
dodge;12/03/2023;0,071001
dodge;13/03/2023;0,073041
dodge;14/03/2023;0,074787
dodge;15/03/2023;0,069866
dodge;16/03/2023;0,072718
dodge;17/03/2023;0,076509
dodge;18/03/2023;0,07305
dodge;19/03/2023;0,074813
dodge;20/03/2023;0,071487
dodge;21/03/2023;0,076894
dodge;22/03/2023;0,073999
dodge;23/03/2023;0,077412
dodge;24/03/2023;0,07468
dodge;25/03/2023;0,074044
dodge;26/03/2023;0,074417
dodge;27/03/2023;0,072895
dodge;28/03/2023;0,073823
dodge;29/03/2023;0,075627
dodge;30/03/2023;0,074245
dodge;31/03/2023;0,077035
dodge;01/04/2023;0,084051
dodge;02/04/2023;0,079089
dodge;03/04/2023;0,096079
dodge;04/04/2023;0,095159
dodge;05/04/2023;0,092817
dodge;06/04/2023;0,085412
dodge;07/04/2023;0,082456
dodge;08/04/2023;0,081405
dodge;09/04/2023;0,08329
dodge;10/04/2023;0,084852
dodge;11/04/2023;0,084237
dodge;12/04/2023;0,083433
dodge;13/04/2023;0,087484
dodge;14/04/2023;0,088785
dodge;15/04/2023;0,088974
dodge;16/04/2023;0,090472
dodge;17/04/2023;0,091449
dodge;18/04/2023;0,093989
dodge;19/04/2023;0,087868
dodge;20/04/2023;0,083937
dodge;21/04/2023;0,078479
dodge;22/04/2023;0,080375
dodge;23/04/2023;0,07882
dodge;24/04/2023;0,078784
dodge;25/04/2023;0,079847
dodge;26/04/2023;0,078623
dodge;27/04/2023;0,08019
dodge;28/04/2023;0,080364
dodge;29/04/2023;0,08163
dodge;30/04/2023;0,079769
dodge;01/05/2023;0,07882
dodge;02/05/2023;0,078806
dodge;03/05/2023;0,079713
dodge;04/05/2023;0,078449
dodge;05/05/2023;0,08039
dodge;06/05/2023;0,076998
dodge;07/05/2023;0,07671
dodge;08/05/2023;0,072473
dodge;09/05/2023;0,073139
dodge;10/05/2023;0,073226
dodge;11/05/2023;0,072085
dodge;12/05/2023;0,072459
dodge;13/05/2023;0,071777
dodge;14/05/2023;0,071986
dodge;15/05/2023;0,072046
dodge;16/05/2023;0,072729
dodge;17/05/2023;0,074911
dodge;18/05/2023;0,073546
dodge;19/05/2023;0,073527
dodge;20/05/2023;0,07367
dodge;21/05/2023;0,072142
dodge;22/05/2023;0,072998
dodge;23/05/2023;0,072864
dodge;24/05/2023;0,070735
dodge;25/05/2023;0,070875
dodge;26/05/2023;0,070984
dodge;27/05/2023;0,072683
dodge;28/05/2023;0,073613
dodge;29/05/2023;0,073185
dodge;30/05/2023;0,072361
dodge;31/05/2023;0,07166
dodge;01/06/2023;0,071492
dodge;02/06/2023;0,072612
dodge;03/06/2023;0,072671
dodge;04/06/2023;0,072471
dodge;05/06/2023;0,066573
dodge;06/06/2023;0,070373
dodge;07/06/2023;0,0673
dodge;08/06/2023;0,067966
dodge;09/06/2023;0,069489
dodge;10/06/2023;0,06186
dodge;11/06/2023;0,061587
dodge;12/06/2023;0,061459
dodge;13/06/2023;0,061723
dodge;14/06/2023;0,060387
dodge;15/06/2023;0,061503
dodge;16/06/2023;0,062102
dodge;17/06/2023;0,062217
dodge;18/06/2023;0,062167
dodge;19/06/2023;0,062341
dodge;20/06/2023;0,063045
dodge;21/06/2023;0,065704
dodge;22/06/2023;0,065643
dodge;23/06/2023;0,068174
dodge;24/06/2023;0,066742
dodge;25/06/2023;0,066764
dodge;26/06/2023;0,064749
dodge;27/06/2023;0,065545
dodge;28/06/2023;0,062602
dodge;29/06/2023;0,063407
dodge;30/06/2023;0,066479
dodge;01/07/2023;0,068478
dodge;02/07/2023;0,068038
dodge;03/07/2023;0,068353
dodge;04/07/2023;0,068941
dodge;05/07/2023;0,067033
dodge;06/07/2023;0,065026
dodge;07/07/2023;0,065425
dodge;08/07/2023;0,065761
dodge;09/07/2023;0,065435
dodge;10/07/2023;0,065243
dodge;11/07/2023;0,065287
dodge;12/07/2023;0,065071
dodge;13/07/2023;0,070507
dodge;14/07/2023;0,068529
dodge;15/07/2023;0,071927
dodge;16/07/2023;0,069554
