crypto;date;courscloture
egld;13/12/2022;43,892662
egld;14/12/2022;42,912724
egld;15/12/2022;42,007057
egld;16/12/2022;39,359093
egld;17/12/2022;39,210438
egld;18/12/2022;38,895485
egld;19/12/2022;35,338566
egld;20/12/2022;35,910347
egld;21/12/2022;34,475357
egld;22/12/2022;35,103989
egld;23/12/2022;34,873825
egld;24/12/2022;34,77219
egld;25/12/2022;33,633015
egld;26/12/2022;33,759945
egld;27/12/2022;33,960678
egld;28/12/2022;33,14146
egld;29/12/2022;33,215477
egld;30/12/2022;32,95689
egld;31/12/2022;32,795204
egld;01/01/2023;32,950642
egld;02/01/2023;33,377632
egld;03/01/2023;33,126549
egld;04/01/2023;34,449455
egld;05/01/2023;34,436417
egld;06/01/2023;34,389385
egld;07/01/2023;34,121922
egld;08/01/2023;34,959541
egld;09/01/2023;34,918663
egld;10/01/2023;35,455593
egld;11/01/2023;36,336361
egld;12/01/2023;37,598499
egld;13/01/2023;39,145741
egld;14/01/2023;40,492233
egld;15/01/2023;40,859585
egld;16/01/2023;40,122517
egld;17/01/2023;40,904739
egld;18/01/2023;39,240761
egld;19/01/2023;40,756851
egld;20/01/2023;42,816872
egld;21/01/2023;42,462322
egld;22/01/2023;43,636822
egld;23/01/2023;44,022018
egld;24/01/2023;41,727245
egld;25/01/2023;43,353748
egld;26/01/2023;43,640324
egld;27/01/2023;44,672836
egld;28/01/2023;44,592072
egld;29/01/2023;45,270878
egld;30/01/2023;42,097042
egld;31/01/2023;42,927902
egld;01/02/2023;44,126202
egld;02/02/2023;44,948792
egld;03/02/2023;45,919884
egld;04/02/2023;46,544846
egld;05/02/2023;45,289768
egld;06/02/2023;43,687908
egld;07/02/2023;46,916359
egld;08/02/2023;46,297264
egld;09/02/2023;42,270618
egld;10/02/2023;42,707134
egld;11/02/2023;44,43359
egld;12/02/2023;43,886105
egld;13/02/2023;41,704781
egld;14/02/2023;44,31284
egld;15/02/2023;46,412907
egld;16/02/2023;47,27343
egld;17/02/2023;49,505249
egld;18/02/2023;52,375408
egld;19/02/2023;50,977386
egld;20/02/2023;52,870747
egld;21/02/2023;51,609886
egld;22/02/2023;49,585701
egld;23/02/2023;50,201679
egld;24/02/2023;48,902077
egld;25/02/2023;48,178123
egld;26/02/2023;49,855022
egld;27/02/2023;48,698936
egld;28/02/2023;48,035786
egld;01/03/2023;48,505829
egld;02/03/2023;46,164906
egld;03/03/2023;43,20409
egld;04/03/2023;42,732815
egld;05/03/2023;43,08952
egld;06/03/2023;43,863235
egld;07/03/2023;42,076069
egld;08/03/2023;39,936237
egld;09/03/2023;37,848267
egld;10/03/2023;38,425667
egld;11/03/2023;38,59787
egld;12/03/2023;40,995342
egld;13/03/2023;42,882431
egld;14/03/2023;43,689461
egld;15/03/2023;40,570736
egld;16/03/2023;40,862293
egld;17/03/2023;44,061138
