crypto;date;courscloture
ETH;02/01/2023;1214,66
ETH;03/01/2023;1214,78
ETH;04/01/2023;1256,53
ETH;05/01/2023;1250,44
ETH;06/01/2023;1269,38
ETH;09/01/2023;1321,54
ETH;10/01/2023;1336,59
ETH;11/01/2023;1387,93
ETH;12/01/2023;1417,94
ETH;13/01/2023;1451,61
ETH;16/01/2023;1576,83
ETH;17/01/2023;1567,85
ETH;18/01/2023;1515,51
ETH;19/01/2023;1552,56
ETH;20/01/2023;1659,75
ETH;23/01/2023;1628,25
ETH;24/01/2023;1556,6
ETH;25/01/2023;1611,71
ETH;26/01/2023;1603,11
ETH;27/01/2023;1598,16
ETH;30/01/2023;1567,33
ETH;31/01/2023;1586,54
ETH;01/02/2023;1641,79
ETH;02/02/2023;1643,24
ETH;03/02/2023;1664,75
ETH;06/02/2023;1616,25
ETH;07/02/2023;1672
ETH;08/02/2023;1650,72
ETH;09/02/2023;1546,44
ETH;10/02/2023;1514,87
ETH;13/02/2023;1507,17
ETH;14/02/2023;1556,88
ETH;15/02/2023;1673,75
ETH;16/02/2023;1640,07
ETH;17/02/2023;1694,78
ETH;20/02/2023;1702,68
ETH;21/02/2023;1658,04
ETH;22/02/2023;1643,23
ETH;23/02/2023;1651,07
ETH;24/02/2023;1608,37
ETH;27/02/2023;1634,33
ETH;28/02/2023;1605,9
ETH;01/03/2023;1663,43
ETH;02/03/2023;1647,32
ETH;03/03/2023;1569,17
ETH;06/03/2023;1567,4
ETH;07/03/2023;1561,93
ETH;08/03/2023;1534,09
ETH;09/03/2023;1438,66
ETH;10/03/2023;1429,16
ETH;13/03/2023;1680,31
ETH;14/03/2023;1703,51
ETH;15/03/2023;1656,18
ETH;16/03/2023;1677,22
ETH;17/03/2023;1792,49
ETH;20/03/2023;1735,32
ETH;21/03/2023;1806,76
ETH;22/03/2023;1737,72
ETH;23/03/2023;1816,41
ETH;24/03/2023;1752,04
ETH;27/03/2023;1715,46
ETH;28/03/2023;1772,79
ETH;29/03/2023;1793
ETH;30/03/2023;1792,74
ETH;31/03/2023;1822,02
ETH;03/04/2023;1810,3
ETH;04/04/2023;1871,01
ETH;05/04/2023;1909,11
ETH;06/04/2023;1872,92
ETH;07/04/2023;1865,64
ETH;10/04/2023;1911,21
ETH;11/04/2023;1892,19
ETH;12/04/2023;1920,68
ETH;13/04/2023;2012,63
ETH;14/04/2023;2101,64
ETH;17/04/2023;2076,24
ETH;18/04/2023;2104,54
ETH;19/04/2023;1936,4
ETH;20/04/2023;1943,1
ETH;21/04/2023;1850
ETH;24/04/2023;1842,76
ETH;25/04/2023;1866,75
ETH;26/04/2023;1866,56
ETH;27/04/2023;1908,79
ETH;28/04/2023;1892,51
ETH;01/05/2023;1831,95
ETH;02/05/2023;1870,79
ETH;03/05/2023;1904,65
ETH;04/05/2023;1877,7
ETH;05/05/2023;1995,06
ETH;08/05/2023;1849,04
ETH;09/05/2023;1848,6
ETH;10/05/2023;1842,4
ETH;11/05/2023;1796,49
ETH;12/05/2023;1808,02
ETH;15/05/2023;1817,55
ETH;16/05/2023;1824,12
ETH;17/05/2023;1821,86
ETH;18/05/2023;1801,73
ETH;19/05/2023;1812,59
ETH;22/05/2023;1817,53
ETH;23/05/2023;1854,38
ETH;24/05/2023;1800,1
ETH;25/05/2023;1805,95
ETH;26/05/2023;1828,69
ETH;29/05/2023;1893,08
ETH;30/05/2023;1901,03
ETH;31/05/2023;1874,13
ETH;01/06/2023;1862,2
ETH;02/06/2023;1907,26
ETH;05/06/2023;1811,83
ETH;06/06/2023;1884,49
ETH;07/06/2023;1832,4
ETH;08/06/2023;1846,3
ETH;09/06/2023;1840,23
ETH;12/06/2023;1742,53
ETH;13/06/2023;1739,04
ETH;14/06/2023;1650,52
ETH;15/06/2023;1665,52
ETH;16/06/2023;1716,67
ETH;19/06/2023;1737,66
ETH;20/06/2023;1792,12
ETH;21/06/2023;1891,01
ETH;22/06/2023;1872,94
ETH;23/06/2023;1892,86
ETH;26/06/2023;1859,43
ETH;27/06/2023;1889,7
ETH;28/06/2023;1827,97
ETH;29/06/2023;1852,23
ETH;30/06/2023;1933,19
ETH;03/07/2023;1955,39
ETH;04/07/2023;1936,63
ETH;05/07/2023;1910,59
ETH;06/07/2023;1848,64
ETH;07/07/2023;1870,6
ETH;10/07/2023;1880,56
ETH;11/07/2023;1878,34
ETH;12/07/2023;1872,11
ETH;13/07/2023;2006,51
ETH;14/07/2023;1939,35
ETH;17/07/2023;1911,65
ETH;18/07/2023;1897,6
ETH;19/07/2023;1889,01
ETH;20/07/2023;1890,97
ETH;21/07/2023;1892,08
ETH;24/07/2023;1850
ETH;25/07/2023;1857,74
ETH;26/07/2023;1872,16
ETH;27/07/2023;1860,36
ETH;28/07/2023;1874,74
ETH;31/07/2023;1856,16
ETH;01/08/2023;1871,79
ETH;02/08/2023;1839,09
ETH;03/08/2023;1835,14
ETH;04/08/2023;1827,71
ETH;07/08/2023;1826,94
ETH;08/08/2023;1855,81
ETH;09/08/2023;1854,3
ETH;10/08/2023;1850,75
ETH;11/08/2023;1847,12
ETH;14/08/2023;1844,19
ETH;15/08/2023;1826,93
ETH;16/08/2023;1805,66
ETH;17/08/2023;1684,93
ETH;18/08/2023;1660,95
ETH;21/08/2023;1667,27
ETH;22/08/2023;1633,89
ETH;23/08/2023;1679,27
