crypto;date;courscloture;;;;
flow;30/11/2023;0,6302;;;;
flow;29/11/2023;0,6369;;;;
flow;28/11/2023;0,6518;;;;
flow;27/11/2023;0,6582;;;;
flow;26/11/2023;0,6857;;;;
flow;25/11/2023;0,6805;;;;
flow;24/11/2023;0,6457;;;;
flow;23/11/2023;0,6311;;;;
flow;22/11/2023;0,6389;;;;
flow;21/11/2023;0,597;;;;
flow;20/11/2023;0,6748;;;;
flow;19/11/2023;0,6938;;;;
flow;18/11/2023;0,6814;;;;
flow;17/11/2023;0,6622;;;;
flow;16/11/2023;0,6629;;;;
flow;15/11/2023;0,7016;;;;
flow;14/11/2023;0,6751;;;;
flow;13/11/2023;0,6528;;;;
flow;12/11/2023;0,6994;;;;
flow;11/11/2023;0,652;;;;
flow;10/11/2023;0,6327;;;;
flow;09/11/2023;0,6093;;;;
flow;08/11/2023;0,6281;;;;
flow;07/11/2023;0,603;;;;
flow;06/11/2023;0,5998;;;;
flow;05/11/2023;0,5769;;;;
flow;04/11/2023;0,5381;;;;
flow;03/11/2023;0,5193;;;;
flow;02/11/2023;0,516;;;;
flow;01/11/2023;0,5384;;;;
flow;31/10/2023;0,5239;;;;
flow;30/10/2023;0,5435;;;;
flow;29/10/2023;0,5461;;;;
flow;28/10/2023;0,5337;;;;
flow;27/10/2023;0,5253;;;;
flow;26/10/2023;0,508;;;;
flow;25/10/2023;0,5181;;;;
flow;24/10/2023;0,5249;;;;
flow;23/10/2023;0,4876;;;;
flow;22/10/2023;0,4567;;;;
flow;21/10/2023;0,4586;;;;
flow;20/10/2023;0,4431;;;;
flow;19/10/2023;0,4221;;;;
flow;18/10/2023;0,4318;;;;
flow;17/10/2023;0,4437;;;;
flow;16/10/2023;0,452;;;;
flow;15/10/2023;0,446;;;;
flow;14/10/2023;0,4301;;;;
flow;13/10/2023;0,4172;;;;
flow;12/10/2023;0,4156;;;;
flow;11/10/2023;0,4207;;;;
flow;10/10/2023;0,4262;;;;
flow;09/10/2023;0,4201;;;;
flow;08/10/2023;0,4409;;;;
flow;07/10/2023;0,4465;;;;
flow;06/10/2023;0,4397;;;;
flow;05/10/2023;0,4309;;;;
flow;04/10/2023;0,4367;;;;
flow;03/10/2023;0,4424;;;;
flow;02/10/2023;0,4511;;;;
flow;01/10/2023;0,4698;;;;
flow;30/09/2023;0,4579;;;;
flow;29/09/2023;0,4568;;;;
flow;28/09/2023;0,448;;;;
flow;27/09/2023;0,4417;;;;
flow;26/09/2023;0,4434;;;;
flow;25/09/2023;0,4461;;;;
flow;24/09/2023;0,4405;;;;
flow;23/09/2023;0,4504;;;;
flow;22/09/2023;0,4438;;;;
flow;21/09/2023;0,4422;;;;
flow;20/09/2023;0,4484;;;;
flow;19/09/2023;0,4507;;;;
flow;18/09/2023;0,4468;;;;
flow;17/09/2023;0,4355;;;;
flow;16/09/2023;0,4708;;;;
flow;15/09/2023;0,4328;;;;
flow;14/09/2023;0,4254;;;;
flow;13/09/2023;0,4186;;;;
flow;12/09/2023;0,4078;;;;
flow;11/09/2023;0,3988;;;;
flow;10/09/2023;0,4171;;;;
flow;09/09/2023;0,4326;;;;
flow;08/09/2023;0,4337;;;;
flow;07/09/2023;0,4397;;;;
flow;06/09/2023;0,4369;;;;
flow;05/09/2023;0,4381;;;;
flow;04/09/2023;0,4377;;;;
flow;03/09/2023;0,43;;;;
flow;02/09/2023;0,4283;;;;
flow;01/09/2023;0,4294;;;;
flow;31/08/2023;0,4375;;;;
flow;30/08/2023;0,4617;;;;
flow;29/08/2023;0,4763;;;;
flow;28/08/2023;0,4554;;;;
flow;27/08/2023;0,4537;;;;
flow;26/08/2023;0,4496;;;;
flow;25/08/2023;0,4504;;;;
flow;24/08/2023;0,4552;;;;
flow;23/08/2023;0,4654;;;;
flow;22/08/2023;0,4562;;;;
flow;21/08/2023;0,4595;;;;
flow;20/08/2023;0,4678;;;;
flow;19/08/2023;0,4636;;;;
flow;18/08/2023;0,455;;;;
flow;17/08/2023;0,4469;;;;
flow;16/08/2023;0,4861;;;;
flow;15/08/2023;0,5215;;;;
flow;14/08/2023;0,5528;;;;
flow;13/08/2023;0,5581;;;;
flow;12/08/2023;0,5583;;;;
flow;11/08/2023;0,5575;;;;
flow;10/08/2023;0,557;;;;
flow;09/08/2023;0,5559;;;;
flow;08/08/2023;0,5611;;;;
flow;07/08/2023;0,5463;;;;
flow;06/08/2023;0,5532;;;;
flow;05/08/2023;0,5561;;;;
flow;04/08/2023;0,557;;;;
flow;03/08/2023;0,5643;;;;
flow;02/08/2023;0,5751;;;;
flow;01/08/2023;0,5906;;;;
flow;31/07/2023;0,5797;;;;
flow;30/07/2023;0,5871;;;;
flow;29/07/2023;0,5934;;;;
flow;28/07/2023;0,5845;;;;
flow;27/07/2023;0,5815;;;;
flow;26/07/2023;0,5915;;;;
flow;25/07/2023;0,585;;;;
flow;24/07/2023;0,5891;;;;
flow;23/07/2023;0,6177;;;;
flow;22/07/2023;0,6212;;;;
flow;21/07/2023;0,6309;;;;
flow;20/07/2023;0,633;;;;
flow;19/07/2023;0,644;;;;
flow;18/07/2023;0,639;;;;
flow;17/07/2023;0,622;;;;
flow;16/07/2023;0,609;;;;
flow;15/07/2023;0,6072;;;;
flow;14/07/2023;0,6161;;;;
flow;13/07/2023;0,639;;;;
flow;12/07/2023;0,584;;;;
flow;11/07/2023;0,6021;;;;
flow;10/07/2023;0,602;;;;
flow;09/07/2023;0,61;;;;
flow;08/07/2023;0,602;;;;
flow;07/07/2023;0,614;;;;
flow;06/07/2023;0,622;;;;
flow;05/07/2023;0,6141;;;;
flow;04/07/2023;0,641;;;;
flow;03/07/2023;0,692;;;;
flow;02/07/2023;0,717;;;;
flow;01/07/2023;0,705;;;;
flow;30/06/2023;0,5429;;;;
flow;29/06/2023;0,514;;;;
flow;28/06/2023;0,5099;;;;
flow;27/06/2023;0,545;;;;
