crypto;date;courscloture;;;;
polygon;30/11/2023;0,762;;;;
polygon;29/11/2023;0,758;;;;
polygon;28/11/2023;0,749;;;;
polygon;27/11/2023;0,743;;;;
polygon;26/11/2023;0,762;;;;
polygon;25/11/2023;0,779;;;;
polygon;24/11/2023;0,76;;;;
polygon;23/11/2023;0,772;;;;
polygon;22/11/2023;0,773;;;;
polygon;21/11/2023;0,729;;;;
polygon;20/11/2023;0,811;;;;
polygon;19/11/2023;0,852;;;;
polygon;18/11/2023;0,832;;;;
polygon;17/11/2023;0,831;;;;
polygon;16/11/2023;0,845;;;;
polygon;15/11/2023;0,919;;;;
polygon;14/11/2023;0,917;;;;
polygon;13/11/2023;0,883;;;;
polygon;12/11/2023;0,898;;;;
polygon;11/11/2023;0,804;;;;
polygon;10/11/2023;0,843;;;;
polygon;09/11/2023;0,853;;;;
polygon;08/11/2023;0,788;;;;
polygon;07/11/2023;0,741;;;;
polygon;06/11/2023;0,736;;;;
polygon;05/11/2023;0,692;;;;
polygon;04/11/2023;0,677;;;;
polygon;03/11/2023;0,672;;;;
polygon;02/11/2023;0,66;;;;
polygon;01/11/2023;0,669;;;;
polygon;31/10/2023;0,636;;;;
polygon;30/10/2023;0,65;;;;
polygon;29/10/2023;0,639;;;;
polygon;28/10/2023;0,62;;;;
polygon;27/10/2023;0,609;;;;
polygon;26/10/2023;0,632;;;;
polygon;25/10/2023;0,631;;;;
polygon;24/10/2023;0,625;;;;
polygon;23/10/2023;0,637;;;;
polygon;22/10/2023;0,609;;;;
polygon;21/10/2023;0,573;;;;
polygon;20/10/2023;0,536;;;;
polygon;19/10/2023;0,517;;;;
polygon;18/10/2023;0,51;;;;
polygon;17/10/2023;0,519;;;;
polygon;16/10/2023;0,533;;;;
polygon;15/10/2023;0,515;;;;
polygon;14/10/2023;0,517;;;;
polygon;13/10/2023;0,515;;;;
polygon;12/10/2023;0,508;;;;
polygon;11/10/2023;0,514;;;;
polygon;10/10/2023;0,518;;;;
polygon;09/10/2023;0,529;;;;
polygon;08/10/2023;0,561;;;;
polygon;07/10/2023;0,564;;;;
polygon;06/10/2023;0,564;;;;
polygon;05/10/2023;0,545;;;;
polygon;04/10/2023;0,562;;;;
polygon;03/10/2023;0,567;;;;
polygon;02/10/2023;0,547;;;;
polygon;01/10/2023;0,568;;;;
polygon;30/09/2023;0,533;;;;
polygon;29/09/2023;0,526;;;;
polygon;28/09/2023;0,52;;;;
polygon;27/09/2023;0,504;;;;
polygon;26/09/2023;0,51;;;;
polygon;25/09/2023;0,52;;;;
polygon;24/09/2023;0,513;;;;
polygon;23/09/2023;0,521;;;;
polygon;22/09/2023;0,521;;;;
polygon;21/09/2023;0,52;;;;
polygon;20/09/2023;0,541;;;;
polygon;19/09/2023;0,545;;;;
polygon;18/09/2023;0,526;;;;
polygon;17/09/2023;0,517;;;;
polygon;16/09/2023;0,528;;;;
polygon;15/09/2023;0,53;;;;
polygon;14/09/2023;0,522;;;;
polygon;13/09/2023;0,513;;;;
polygon;12/09/2023;0,506;;;;
polygon;11/09/2023;0,504;;;;
polygon;10/09/2023;0,523;;;;
polygon;09/09/2023;0,54;;;;
polygon;08/09/2023;0,544;;;;
polygon;07/09/2023;0,555;;;;
polygon;06/09/2023;0,559;;;;
polygon;05/09/2023;0,558;;;;
polygon;04/09/2023;0,554;;;;
polygon;03/09/2023;0,542;;;;
polygon;02/09/2023;0,541;;;;
polygon;01/09/2023;0,541;;;;
polygon;31/08/2023;0,549;;;;
polygon;30/08/2023;0,575;;;;
polygon;29/08/2023;0,594;;;;
polygon;28/08/2023;0,562;;;;
polygon;27/08/2023;0,556;;;;
polygon;26/08/2023;0,549;;;;
polygon;25/08/2023;0,546;;;;
polygon;24/08/2023;0,547;;;;
polygon;23/08/2023;0,557;;;;
polygon;22/08/2023;0,549;;;;
polygon;21/08/2023;0,558;;;;
polygon;20/08/2023;0,58;;;;
polygon;19/08/2023;0,577;;;;
polygon;18/08/2023;0,577;;;;
polygon;17/08/2023;0,573;;;;
polygon;16/08/2023;0,624;;;;
polygon;15/08/2023;0,639;;;;
polygon;14/08/2023;0,68;;;;
polygon;13/08/2023;0,678;;;;
polygon;12/08/2023;0,682;;;;
polygon;11/08/2023;0,681;;;;
polygon;10/08/2023;0,685;;;;
polygon;09/08/2023;0,69;;;;
polygon;08/08/2023;0,686;;;;
polygon;07/08/2023;0,666;;;;
polygon;06/08/2023;0,667;;;;
polygon;05/08/2023;0,667;;;;
