crypto;date;courscloture
SOL;01/01/2023;9,982173
SOL;02/01/2023;11,272967
SOL;03/01/2023;13,344046
SOL;04/01/2023;13,435113
SOL;05/01/2023;13,41933
SOL;06/01/2023;13,525842
SOL;07/01/2023;13,092268
SOL;08/01/2023;14,319933
SOL;09/01/2023;16,302464
SOL;10/01/2023;16,196724
SOL;11/01/2023;16,359415
SOL;12/01/2023;16,619043
SOL;13/01/2023;18,288445
SOL;14/01/2023;24,249458
SOL;15/01/2023;22,873306
SOL;16/01/2023;23,577564
SOL;17/01/2023;22,884064
SOL;18/01/2023;20,850634
SOL;19/01/2023;21,426765
SOL;20/01/2023;25,548271
SOL;21/01/2023;24,627838
SOL;22/01/2023;24,23279
SOL;23/01/2023;24,357807
SOL;24/01/2023;22,795673
SOL;25/01/2023;24,571445
SOL;26/01/2023;24,350697
SOL;27/01/2023;24,407858
SOL;28/01/2023;23,981802
SOL;29/01/2023;26,132387
SOL;30/01/2023;23,946321
SOL;31/01/2023;23,952547
SOL;01/02/2023;24,993359
SOL;02/02/2023;24,265059
SOL;03/02/2023;24,680897
SOL;04/02/2023;24,317745
SOL;05/02/2023;23,493439
SOL;06/02/2023;22,706388
SOL;07/02/2023;23,861357
SOL;08/02/2023;23,192671
SOL;09/02/2023;20,452127
SOL;10/02/2023;20,13011
SOL;11/02/2023;20,830095
SOL;12/02/2023;21,489979
SOL;13/02/2023;20,7901
SOL;14/02/2023;21,824953
SOL;15/02/2023;23,883902
SOL;16/02/2023;22,285952
SOL;17/02/2023;23,166758
SOL;18/02/2023;23,478592
SOL;19/02/2023;24,840752
SOL;20/02/2023;26,181387
SOL;21/02/2023;24,948559
SOL;22/02/2023;24,181349
SOL;23/02/2023;23,900801
SOL;24/02/2023;23,053036
SOL;25/02/2023;22,523399
SOL;26/02/2023;23,256088
SOL;27/02/2023;22,692589
SOL;28/02/2023;21,916388
SOL;01/03/2023;22,506432
SOL;02/03/2023;21,984879
SOL;03/03/2023;21,399353
SOL;04/03/2023;20,966839
SOL;05/03/2023;20,978584
SOL;06/03/2023;20,635012
SOL;07/03/2023;20,244732
SOL;08/03/2023;18,421194
SOL;09/03/2023;17,308147
SOL;10/03/2023;18,243643
SOL;11/03/2023;18,225843
SOL;12/03/2023;20,310532
SOL;13/03/2023;20,433712
SOL;14/03/2023;20,928034
SOL;15/03/2023;19,290981
SOL;16/03/2023;19,730543
SOL;17/03/2023;21,629103
SOL;18/03/2023;21,195902
SOL;19/03/2023;21,903402
SOL;20/03/2023;22,176464
SOL;21/03/2023;22,618267
SOL;22/03/2023;21,480486
SOL;23/03/2023;22,216778
SOL;24/03/2023;20,678856
SOL;25/03/2023;20,446646
SOL;26/03/2023;20,975519
SOL;27/03/2023;19,921675
SOL;28/03/2023;20,470697
SOL;29/03/2023;21,111467
SOL;30/03/2023;20,551046
SOL;31/03/2023;21,170496
SOL;01/04/2023;20,975641
SOL;02/04/2023;20,536976
SOL;03/04/2023;20,44305
SOL;04/04/2023;20,92462
SOL;05/04/2023;20,966007
SOL;06/04/2023;20,610128
SOL;07/04/2023;20,46994
SOL;08/04/2023;20,036449
SOL;09/04/2023;20,299465
SOL;10/04/2023;20,882357
SOL;11/04/2023;23,018827
SOL;12/04/2023;23,985306
SOL;13/04/2023;24,432308
SOL;14/04/2023;24,772722
SOL;15/04/2023;24,079378
SOL;16/04/2023;25,361927
SOL;17/04/2023;24,558846
SOL;18/04/2023;24,85269
SOL;19/04/2023;22,712835
SOL;20/04/2023;22,18144
SOL;21/04/2023;21,278135
SOL;22/04/2023;21,816288
SOL;23/04/2023;21,480139
SOL;24/04/2023;21,391069
SOL;25/04/2023;21,927254
SOL;26/04/2023;21,283012
SOL;27/04/2023;22,340115
SOL;28/04/2023;23,366287
SOL;29/04/2023;23,182997
SOL;30/04/2023;22,832014
SOL;01/05/2023;21,986633
SOL;02/05/2023;22,264978
SOL;03/05/2023;22,218002
SOL;04/05/2023;21,730349
SOL;05/05/2023;22,826111
SOL;06/05/2023;21,974262
SOL;07/05/2023;21,844229
SOL;08/05/2023;20,657463
SOL;09/05/2023;20,683645
SOL;10/05/2023;20,953711
SOL;11/05/2023;20,23488
SOL;12/05/2023;20,911795
SOL;13/05/2023;20,868761
SOL;14/05/2023;20,953398
SOL;15/05/2023;21,007189
SOL;16/05/2023;20,67942
SOL;17/05/2023;21,068399
SOL;18/05/2023;20,348696
SOL;19/05/2023;20,349871
SOL;20/05/2023;20,285446
SOL;21/05/2023;19,609438
SOL;22/05/2023;19,542046
SOL;23/05/2023;20,043182
SOL;24/05/2023;19,223663
SOL;25/05/2023;19,260662
SOL;26/05/2023;19,366957
SOL;27/05/2023;20,425234
SOL;28/05/2023;20,798578
SOL;29/05/2023;20,58651
SOL;30/05/2023;21,254084
SOL;31/05/2023;20,824503
SOL;01/06/2023;20,502218
SOL;02/06/2023;21,257595
SOL;03/06/2023;21,155565
