crypto;date;courscloture;;;;
theta;30/11/2023;1,0104;;;;
theta;29/11/2023;0,9639;;;;
theta;28/11/2023;0,9593;;;;
theta;27/11/2023;0,954;;;;
theta;26/11/2023;0,9798;;;;
theta;25/11/2023;1,019;;;;
theta;24/11/2023;0,9901;;;;
theta;23/11/2023;0,9437;;;;
theta;22/11/2023;0,9519;;;;
theta;21/11/2023;0,8598;;;;
theta;20/11/2023;0,9607;;;;
theta;19/11/2023;0,9685;;;;
theta;18/11/2023;0,9304;;;;
theta;17/11/2023;0,9328;;;;
theta;16/11/2023;0,9378;;;;
theta;15/11/2023;0,9612;;;;
theta;14/11/2023;0,9203;;;;
theta;13/11/2023;0,917;;;;
theta;12/11/2023;0,993;;;;
theta;11/11/2023;1,0278;;;;
theta;10/11/2023;1,032;;;;
theta;09/11/2023;0,9308;;;;
theta;08/11/2023;0,8829;;;;
theta;07/11/2023;0,829;;;;
theta;06/11/2023;0,8202;;;;
theta;05/11/2023;0,7937;;;;
theta;04/11/2023;0,7747;;;;
theta;03/11/2023;0,752;;;;
theta;02/11/2023;0,7695;;;;
theta;01/11/2023;0,7624;;;;
theta;31/10/2023;0,722;;;;
theta;30/10/2023;0,6921;;;;
theta;29/10/2023;0,6843;;;;
theta;28/10/2023;0,6718;;;;
theta;27/10/2023;0,6429;;;;
theta;26/10/2023;0,6503;;;;
theta;25/10/2023;0,6621;;;;
theta;24/10/2023;0,66;;;;
theta;23/10/2023;0,651;;;;
theta;22/10/2023;0,6188;;;;
theta;21/10/2023;0,6077;;;;
theta;20/10/2023;0,5868;;;;
theta;19/10/2023;0,565;;;;
theta;18/10/2023;0,5852;;;;
theta;17/10/2023;0,597;;;;
theta;16/10/2023;0,6078;;;;
theta;15/10/2023;0,5979;;;;
theta;14/10/2023;0,5891;;;;
theta;13/10/2023;0,582;;;;
theta;12/10/2023;0,5831;;;;
theta;11/10/2023;0,5941;;;;
theta;10/10/2023;0,5931;;;;
theta;09/10/2023;0,594;;;;
theta;08/10/2023;0,6143;;;;
theta;07/10/2023;0,6181;;;;
theta;06/10/2023;0,624;;;;
theta;05/10/2023;0,6151;;;;
theta;04/10/2023;0,6209;;;;
theta;03/10/2023;0,627;;;;
theta;02/10/2023;0,6279;;;;
theta;01/10/2023;0,67;;;;
theta;30/09/2023;0,647;;;;
theta;29/09/2023;0,6469;;;;
theta;28/09/2023;0,647;;;;
theta;27/09/2023;0,633;;;;
theta;26/09/2023;0,6389;;;;
theta;25/09/2023;0,6351;;;;
theta;24/09/2023;0,6238;;;;
theta;23/09/2023;0,6431;;;;
theta;22/09/2023;0,6001;;;;
theta;21/09/2023;0,5902;;;;
theta;20/09/2023;0,596;;;;
theta;19/09/2023;0,612;;;;
theta;18/09/2023;0,6003;;;;
theta;17/09/2023;0,598;;;;
theta;16/09/2023;0,6149;;;;
theta;15/09/2023;0,614;;;;
theta;14/09/2023;0,6065;;;;
theta;13/09/2023;0,591;;;;
theta;12/09/2023;0,581;;;;
theta;11/09/2023;0,5867;;;;
theta;10/09/2023;0,606;;;;
theta;09/09/2023;0,6259;;;;
theta;08/09/2023;0,634;;;;
theta;07/09/2023;0,63;;;;
theta;06/09/2023;0,6301;;;;
theta;05/09/2023;0,6288;;;;
theta;04/09/2023;0,606;;;;
theta;03/09/2023;0,611;;;;
theta;02/09/2023;0,6079;;;;
theta;01/09/2023;0,602;;;;
theta;31/08/2023;0,6169;;;;
theta;30/08/2023;0,646;;;;
theta;29/08/2023;0,6501;;;;
theta;28/08/2023;0,6191;;;;
theta;27/08/2023;0,6101;;;;
theta;26/08/2023;0,6341;;;;
theta;25/08/2023;0,637;;;;
theta;24/08/2023;0,633;;;;
theta;23/08/2023;0,645;;;;
theta;22/08/2023;0,623;;;;
theta;21/08/2023;0,6229;;;;
theta;20/08/2023;0,6253;;;;
theta;19/08/2023;0,6269;;;;
theta;18/08/2023;0,6261;;;;
theta;17/08/2023;0,6197;;;;
theta;16/08/2023;0,677;;;;
theta;15/08/2023;0,7119;;;;
theta;14/08/2023;0,7462;;;;
theta;13/08/2023;0,7368;;;;
theta;12/08/2023;0,7331;;;;
theta;11/08/2023;0,7488;;;;
theta;10/08/2023;0,7409;;;;
theta;09/08/2023;0,7431;;;;
theta;08/08/2023;0,7331;;;;
theta;07/08/2023;0,718;;;;
theta;06/08/2023;0,7228;;;;
theta;05/08/2023;0,744;;;;
theta;04/08/2023;0,76;;;;
theta;03/08/2023;0,7591;;;;
theta;02/08/2023;0,7579;;;;
theta;01/08/2023;0,7787;;;;
theta;31/07/2023;0,7839;;;;
theta;30/07/2023;0,8079;;;;
